state_name,month_name,death,hospitalized,positive
Wisconsin,Oct,50299.0,282777.0,5501628.0
Wisconsin,Nov,84255.0,433334.0,9931427.0
Wisconsin,Dec,139374.0,605657.0,14724485.0
Wyoming,Mar,0.0,74.0,712.0
Wyoming,Apr,82.0,1245.0,11126.0
Wyoming,May,296.0,2181.0,22805.0
Wyoming,Jun,555.0,2937.0,33714.0
Wyoming,Jul,709.0,4262.0,63981.0
Wyoming,Aug,992.0,5963.0,102359.0
Wyoming,Sep,1375.0,7196.0,140056.0
Wyoming,Oct,1926.0,10965.0,279238.0
Wyoming,Nov,4563.0,17962.0,698301.0
Wyoming,Dec,10232.0,29914.0,1239260.0
